Virus	Length	Genes	Viral_Genes	Host_Genes	Provirus	Group	Hallmark_Genes	Viral_Family	Vibrant	Host_MAG	Host_Class
D2_3916814||	84775	108	16	1	No	dsDNAphage	7	Unknown	Yes	None	None
D3_10114173||	80790	83	9	0	No	dsDNAphage	6	Unknown	Yes	None	None
D4_6143919||	80790	83	9	0	No	dsDNAphage	6	Unknown	Yes	00010-contigs	Bacteroidia
D2_2899345||	80633	97	4	4	No	dsDNAphage	2	Siphoviridae	Yes	00054-contigs	Bacteroidia
D4_974500||	77760	107	9	9	No	dsDNAphage	0	Unknown	Yes	00046-contigs	Bacteroidia
D4_1892045||	77270	127	8	1	No	dsDNAphage	1	Unknown	Yes	00028-contigs	Bacteroidia
D3_6662717||	76947	128	15	14	No	dsDNAphage	0	Myoviridae	Yes	00005-contigs	Bacteroidia
D3_5333619||	75838	83	31	1	No	dsDNAphage	4	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_2082293||	75526	83	8	5	No	dsDNAphage	2	Unknown	Yes	None	None
D3_1662022||	74526	89	11	0	No	dsDNAphage	1	Unknown	Yes	00009-contigs	UBA11346
D4_3431286||	72328	68	10	4	No	dsDNAphage	7	Unknown	Yes	00010-contigs	Bacteroidia
D1_6139392||	70824	86	8	1	No	dsDNAphage	2	Unknown	Yes	None	None
D2_8570754||	70824	86	8	1	No	dsDNAphage	2	Unknown	Yes	None	None
D3_10114186||	70824	86	8	1	No	dsDNAphage	2	Unknown	Yes	None	None
D3_3327938||	70591	73	0	0	No	dsDNAphage	25	Unknown	Yes	None	None
D3_10114179||	70383	96	15	0	No	dsDNAphage	8	Podoviridae	Yes	None	None
D1_3030874||	69457	135	20	3	No	dsDNAphage	2	Unknown	Yes	00027-contigs	Alphaproteobacteria
D3_931134||	67357	66	1	51	No	dsDNAphage	2	Siphoviridae	No	00059-contigs	Alphaproteobacteria
D3_1682655||	66177	99	21	1	No	dsDNAphage	2	Unknown	Yes	00022-contigs	Bacteroidia
D4_2256803||	65551	93	16	1	No	dsDNAphage	3	Unknown	Yes	None	None
D2_8570687||	65317	91	11	0	No	dsDNAphage	7	Unknown	Yes	00004-contigs	Bacteroidia
D4_5284071||	65309	94	7	5	No	dsDNAphage	1	Unknown	Yes	None	None
D2_6870299||	64824	106	17	1	No	dsDNAphage	5	Unknown	Yes	00006-contigs	Bacilli
D2_8570737||	64518	75	17	1	No	dsDNAphage	6	Unknown	Yes	None	None
D2_2900504||	64357	91	3	4	No	dsDNAphage	1	Unknown	Yes	None	None
D4_3223589||	63940	64	8	3	No	dsDNAphage	1	Unknown	Yes	None	None
D2_5791050||	63179	72	8	1	No	dsDNAphage	5	Unknown	Yes	None	None
D1_6139459||	62955	80	12	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_8208488||	62955	80	12	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_3992772||	62955	80	12	0	No	dsDNAphage	2	Myoviridae	Yes	00035-contigs	Verrucomicrobiae
D3_9619026||	61373	86	5	4	No	dsDNAphage	1	Unknown	Yes	00009-contigs	UBA11346
D2_8570800||	60867	87	9	1	No	dsDNAphage	3	Unknown	Yes	None	None
D3_7740307||	60867	70	30	0	No	dsDNAphage	16	Siphoviridae	Yes	None	None
D2_8570678||	60062	68	7	1	No	dsDNAphage	5	Myoviridae	Yes	None	None
D4_1957310||	59435	85	28	0	No	dsDNAphage	12	Siphoviridae	Yes	None	None
D1_5814855||	59398	133	30	32	Yes	dsDNAphage	14	Unknown	Yes	00041-contigs	Alphaproteobacteria
D3_8187363||	58949	93	31	1	No	dsDNAphage	1	Myoviridae	Yes	None	None
D4_221135||	58948	93	31	1	No	dsDNAphage	1	Myoviridae	Yes	00023-contigs	Gammaproteobacteria
D1_1940698||	58918	93	31	1	No	dsDNAphage	1	Myoviridae	Yes	None	None
D1_736737||	58710	72	15	2	No	dsDNAphage	2	Unknown	Yes	None	None
D1_391654||	58468	37	5	0	No	dsDNAphage	7	Unknown	Yes	00009-contigs	Bacteroidia
D2_1318843||	58286	63	11	0	No	dsDNAphage	7	Myoviridae	Yes	None	None
D2_6282603||	58039	71	25	1	No	dsDNAphage	4	Podoviridae	Yes	00016-contigs	Cyanobacteriia
D1_33058||	57963	62	16	1	No	dsDNAphage	4	Unknown	Yes	None	None
D3_7081574||	57963	62	17	1	No	dsDNAphage	4	Unknown	Yes	00027-contigs	Bacteroidia
D4_2415149||	57860	62	16	1	No	dsDNAphage	4	Unknown	Yes	None	None
D2_409292||	57804	62	17	1	No	dsDNAphage	4	Unknown	Yes	None	None
D3_8649206||	57624	89	18	2	No	dsDNAphage	13	Unknown	Yes	00005-contigs	Bacteroidia
D1_5381267||	57559	98	13	1	No	dsDNAphage	0	Myoviridae	Yes	None	None
D2_5546285||	57367	47	1	2	No	dsDNAphage	0	Unknown	Yes	None	None
D4_6143867||	57194	89	11	0	No	dsDNAphage	5	Unknown	Yes	00020-contigs	Cyanobacteriia
D1_2016350||	56700	65	13	1	No	dsDNAphage	6	Unknown	Yes	None	None
D2_3636168||	56022	70	9	4	No	dsDNAphage	8	Myoviridae	Yes	00062-contigs	Gammaproteobacteria
D2_2139550||	55912	78	23	0	No	dsDNAphage	5	Unknown	Yes	None	None
D2_7447907||	55793	74	28	1	No	dsDNAphage	7	Siphoviridae	Yes	00054-contigs	Bacteroidia
D3_712670||	55572	66	23	2	No	dsDNAphage	2	Myoviridae	Yes	00036-contigs	Gammaproteobacteria
D1_2868107||	55360	72	29	0	No	dsDNAphage	17	Unknown	Yes	None	None
D1_3496819||	54734	65	10	6	No	dsDNAphage	5	Siphoviridae	Yes	00008-contigs	Gammaproteobacteria
D2_8570862||	53990	71	22	0	No	dsDNAphage	8	Unknown	Yes	None	None
D3_10114168||	53293	77	13	0	No	dsDNAphage	5	Unknown	Yes	None	None
D3_7243137||	53165	65	23	0	No	dsDNAphage	7	Unknown	Yes	None	None
D4_2652233||	53124	75	10	6	No	dsDNAphage	1	Myoviridae	Yes	00020-contigs	Cyanobacteriia
D1_427633||	53003	80	19	0	No	dsDNAphage	12	Myoviridae	Yes	00009-contigs	Bacteroidia
D2_7743047||	53003	80	19	0	No	dsDNAphage	12	Myoviridae	Yes	00062-contigs	Gammaproteobacteria
D3_6760675||	53003	52	9	4	No	dsDNAphage	3	Unknown	Yes	None	None
D3_8722090||	52427	51	13	3	No	dsDNAphage	6	Unknown	Yes	00005-contigs	Bacteroidia
D3_8189667||	52393	55	36	1	No	dsDNAphage	25	Unknown	Yes	None	None
D1_6139435||	51962	76	9	0	No	dsDNAphage	6	Unknown	Yes	00015-contigs	Bacteroidia
D2_2388374||	51725	65	15	2	No	dsDNAphage	1	Unknown	Yes	00002-contigs	Gammaproteobacteria
D3_2540712||	51367	72	4	10	No	dsDNAphage	3	Unknown	Yes	None	None
D3_8501040||	50820	74	22	7	Yes	dsDNAphage	8	Unknown	Yes	00034-contigs	Alphaproteobacteria
D2_1259970||	50710	45	0	16	No	dsDNAphage	3	Unknown	Yes	00002-contigs	Gammaproteobacteria
D4_4852965||	50221	34	5	0	No	dsDNAphage	3	Siphoviridae	Yes	None	None
D4_6143963||	49825	59	20	0	No	dsDNAphage	3	Unknown	Yes	None	None
D2_3766487||	49806	55	11	8	No	dsDNAphage	1	Unknown	Yes	00021-contigs	Bacteroidia
D4_3460961||	49533	47	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_4020638||	49396	67	14	4	No	dsDNAphage	2	Myoviridae	Yes	00032-contigs	Cyanobacteriia
D3_2968873||	48455	55	9	0	No	dsDNAphage	5	Siphoviridae	Yes	None	None
D3_8210767||	48388	57	9	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_9635738||	48319	70	27	0	No	dsDNAphage	6	Myoviridae	Yes	00029-contigs	Bacteroidia
D3_3777539||	48152	81	0	11	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D2_5559880||	48140	49	14	0	No	dsDNAphage	8	Siphoviridae	Yes	00056-contigs	Gammaproteobacteria
D3_4457471||	48024	70	3	0	No	dsDNAphage	1	Unknown	Yes	00014-contigs	Bacteroidia
D1_2340850||	48016	52	5	0	No	dsDNAphage	5	Unknown	Yes	None	None
D3_10114184||	48005	59	3	1	No	dsDNAphage	2	Unknown	Yes	None	None
D1_3683664||	47360	74	7	15	No	dsDNAphage	4	Unknown	Yes	00053-contigs	Desulfobacteria
D2_5805580||	47008	68	26	0	No	dsDNAphage	12	Siphoviridae	Yes	00011-contigs	Alphaproteobacteria
D3_5002743||	46976	65	15	0	No	dsDNAphage	6	Unknown	Yes	00011-contigs	Bacteroidia
D4_2269142||	46844	55	7	2	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5847607||	46813	35	2	16	No	dsDNAphage	1	Unknown	Yes	00003-contigs	Bacteroidia
D1_4089803||	46517	65	24	0	No	dsDNAphage	11	Unknown	Yes	None	None
D3_8349891||	46517	65	24	0	No	dsDNAphage	11	Myoviridae	Yes	None	None
D4_4927450||	46464	60	6	1	No	dsDNAphage	3	Unknown	Yes	00005-contigs	Bacteroidia
D2_4353671||	46160	60	24	0	No	dsDNAphage	8	Podoviridae	Yes	None	None
D4_25123||	46068	49	5	1	No	dsDNAphage	4	Unknown	Yes	00005-contigs	Bacteroidia
D3_9443555||	45938	55	16	0	No	dsDNAphage	6	Myoviridae	Yes	None	None
D4_4920732||	45885	69	16	0	No	dsDNAphage	8	Unknown	Yes	00020-contigs	Cyanobacteriia
D4_2228242||	45882	53	25	0	No	dsDNAphage	11	Myoviridae	Yes	None	None
D3_6537602||	45704	46	6	0	No	dsDNAphage	7	Podoviridae	Yes	00005-contigs	Bacteroidia
D4_6143879||	45587	65	28	0	No	dsDNAphage	11	Unknown	Yes	None	None
D1_2371610||	45451	65	29	0	No	dsDNAphage	11	Unknown	Yes	None	None
D2_791944||	45215	51	9	2	Yes	dsDNAphage	4	Unknown	Yes	00027-contigs	Gammaproteobacteria
D2_7021788||	45120	33	1	8	No	dsDNAphage	5	Unknown	Yes	00002-contigs	Gammaproteobacteria
D1_11541||	45014	84	8	0	No	dsDNAphage	2	Unknown	Yes	None	None
D2_5196276||	44928	38	8	1	No	dsDNAphage	7	Unknown	Yes	None	None
D4_2141559||	44917	83	8	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_3607196||	44831	49	35	0	No	dsDNAphage	8	Podoviridae	Yes	None	None
D1_1633639||	44617	48	36	0	No	dsDNAphage	8	Autographiviridae	Yes	None	None
D3_74336||	44612	38	2	1	No	dsDNAphage	3	Unknown	Yes	None	None
D4_3326937||	44236	60	31	0	No	dsDNAphage	13	Myoviridae	Yes	None	None
D1_2748122||	44175	64	5	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_5273827||	44022	55	11	3	No	dsDNAphage	5	Myoviridae	Yes	None	None
D4_4876492||	43930	48	20	3	No	dsDNAphage	10	Myoviridae	Yes	None	None
D2_2956308||	43884	53	15	1	No	dsDNAphage	5	Podoviridae	Yes	None	None
D1_1355508||	43828	64	15	0	No	dsDNAphage	5	Unknown	Yes	00009-contigs	Bacteroidia
D3_10114220||	43822	64	15	0	No	dsDNAphage	5	Podoviridae	Yes	None	None
D2_5755639||	43800	68	19	1	No	dsDNAphage	3	Siphoviridae	Yes	00021-contigs	Bacteroidia
D2_8006049||	43792	64	15	0	No	dsDNAphage	5	Podoviridae	Yes	None	None
D4_6143952||	43792	64	15	0	No	dsDNAphage	5	Podoviridae	Yes	00032-contigs	Cyanobacteriia
D3_6437660||	43735	76	18	0	No	dsDNAphage	5	Siphoviridae	Yes	00069-contigs	Alphaproteobacteria
D4_6143927||	43698	68	26	0	No	dsDNAphage	8	Unknown	Yes	00057-contigs	Bacteroidia
D3_10114139||	43486	52	9	0	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D3_10114781||	42998	63	22	0	No	dsDNAphage	13	Unknown	Yes	None	None
D3_10114143||	42985	57	7	1	No	dsDNAphage	7	Unknown	Yes	00014-contigs	Bacteroidia
D3_9946940||	42940	68	12	2	No	dsDNAphage	4	Podoviridae	Yes	None	None
D2_370822||	42909	47	8	0	No	dsDNAphage	4	Siphoviridae	Yes	00004-contigs	Bacteroidia
D1_2577641||	42665	33	2	16	No	dsDNAphage	1	Unknown	Yes	00009-contigs	Bacteroidia
D2_1208482||	42362	53	13	0	No	dsDNAphage	8	Autographiviridae	Yes	00034-contigs	Gammaproteobacteria
D2_8571139||	42312	62	9	0	No	dsDNAphage	4	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_5752130||	42304	59	17	0	No	dsDNAphage	5	Siphoviridae	Yes	00004-contigs	Bacteroidia
D1_860249||	42116	75	25	12	Yes	dsDNAphage	8	Unknown	Yes	None	None
D1_1352076||	42112	55	12	3	No	dsDNAphage	7	Unknown	Yes	00032-contigs	Bacteroidia
D4_3878725||	42105	48	10	2	No	dsDNAphage	8	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_1165373||	42055	98	8	35	Yes	dsDNAphage	5	Unknown	Yes	00058-contigs	Alphaproteobacteria
D1_6139735||	42034	59	27	2	No	dsDNAphage	6	Unknown	Yes	00032-contigs	Bacteroidia
D3_9741319||	41980	51	9	1	No	dsDNAphage	6	Myoviridae	Yes	None	None
D2_8571038||	41947	60	8	0	No	dsDNAphage	3	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_1619164||	41947	58	14	0	No	dsDNAphage	6	Unknown	Yes	None	None
D4_2339995||	41636	45	23	0	No	dsDNAphage	7	Unknown	Yes	00028-contigs	Bacteroidia
D3_9612861||	41563	97	6	0	No	dsDNAphage	0	Unknown	Yes	00062-contigs	Bacteroidia
D1_3637821||	41366	51	9	7	Yes	dsDNAphage	5	Unknown	Yes	00008-contigs	Gammaproteobacteria
D2_8570712||	41348	69	8	0	No	dsDNAphage	3	Unknown	Yes	00004-contigs	Bacteroidia
D3_5904736||	41194	90	4	0	No	dsDNAphage	0	Unknown	Yes	00009-contigs	UBA11346
D4_5266342||	41036	70	8	10	Yes	dsDNAphage	5	Unknown	Yes	00032-contigs	Cyanobacteriia
D1_4447852||	40945	59	14	0	No	dsDNAphage	6	Podoviridae	Yes	None	None
D3_3135772||	40776	66	10	5	No	dsDNAphage	1	Unknown	Yes	00065-contigs	Gammaproteobacteria
D1_6140279||	40741	43	17	0	No	dsDNAphage	7	Unknown	Yes	00052-contigs	Cyanobacteriia
D2_208900||	40666	64	16	0	No	dsDNAphage	9	Unknown	Yes	None	None
D3_10114472||	40450	41	20	0	No	dsDNAphage	7	Podoviridae	Yes	00059-contigs	Alphaproteobacteria
D2_721292||	40427	60	20	1	No	dsDNAphage	16	Unknown	Yes	None	None
D2_6570859||	40405	38	1	2	No	dsDNAphage	0	Unknown	Yes	None	None
D2_6779325||	40377	39	5	2	No	dsDNAphage	4	Unknown	Yes	None	None
D3_4652099||	40267	97	14	31	Yes	dsDNAphage	6	Unknown	Yes	00012-contigs	Gammaproteobacteria
D4_321513||	40267	103	13	38	Yes	dsDNAphage	6	Unknown	Yes	00006-contigs	Gammaproteobacteria
D4_6014001||	40182	63	5	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_6139589||	40114	60	21	1	No	dsDNAphage	15	Unknown	Yes	00013-contigs	UBA11346
D2_7293531||	39736	43	8	2	No	dsDNAphage	5	Podoviridae	Yes	None	None
D4_3153841||	39658	74	3	3	Yes	dsDNAphage	1	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_9868717||	39573	38	0	0	No	dsDNAphage	17	Unknown	No	None	None
D3_5185279||	39510	43	14	1	No	dsDNAphage	6	Myoviridae	Yes	None	None
D4_586063||	39316	42	8	2	Yes	dsDNAphage	3	Unknown	Yes	00056-contigs	Cyanobacteriia
D2_1410049||	39310	51	26	0	No	dsDNAphage	9	Unknown	Yes	00054-contigs	Bacteroidia
D3_3249465||	39267	63	5	0	No	dsDNAphage	1	Unknown	Yes	00036-contigs	Gammaproteobacteria
D3_2252183||	39248	53	15	1	No	dsDNAphage	0	Myoviridae	Yes	None	None
D3_10114231||	39182	48	7	0	No	dsDNAphage	6	Unknown	Yes	00022-contigs	Bacteroidia
D3_6452881||	39173	60	21	3	No	dsDNAphage	7	Unknown	Yes	00039-contigs	Cyanobacteriia
D4_1652207||	39106	55	14	0	No	dsDNAphage	7	Myoviridae	Yes	None	None
D1_1574168||	39090	62	6	0	No	dsDNAphage	3	Unknown	Yes	None	None
D4_6129974||	38986	47	9	0	No	dsDNAphage	4	Myoviridae	Yes	None	None
D3_9521048||	38900	66	24	0	No	dsDNAphage	15	Unknown	Yes	00074-contigs	Alphaproteobacteria
D2_8571356||	38891	61	14	0	No	dsDNAphage	10	Unknown	Yes	None	None
D1_664518||	38819	37	9	0	No	dsDNAphage	9	Unknown	Yes	None	None
D3_10114747||	38793	48	7	0	No	dsDNAphage	5	Unknown	Yes	None	None
D3_2077891||	38759	42	8	2	Yes	dsDNAphage	3	Unknown	Yes	00064-contigs	Cyanobacteriia
D2_1408624||	38758	75	8	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_3815671||	38717	51	10	1	No	dsDNAphage	4	Unknown	Yes	00014-contigs	Cyanobacteriia
D4_6143907||	38616	53	8	0	No	dsDNAphage	5	Unknown	Yes	00032-contigs	Cyanobacteriia
D2_485086||	38486	50	3	2	No	dsDNAphage	3	Unknown	Yes	None	None
D3_8406455||	38453	33	5	1	No	dsDNAphage	5	Unknown	Yes	00008-contigs	Alphaproteobacteria
D2_8570769||	38420	46	16	1	No	dsDNAphage	11	Unknown	Yes	None	None
D2_2046608||	38147	50	2	10	No	dsDNAphage	3	Unknown	Yes	None	None
D4_1714596||	38058	47	9	0	No	dsDNAphage	7	Siphoviridae	Yes	00006-contigs	Gammaproteobacteria
D2_8206249||	37932	47	9	0	No	dsDNAphage	7	Siphoviridae	Yes	00009-contigs	Gammaproteobacteria
D4_1545221||	37880	45	9	0	No	dsDNAphage	4	Unknown	Yes	None	None
D4_1044791||	37843	39	7	0	No	dsDNAphage	7	Unknown	Yes	None	None
D2_3310618||	37836	61	9	1	No	dsDNAphage	3	Unknown	Yes	None	None
D2_1953352||	37748	51	16	0	No	dsDNAphage	6	Podoviridae	Yes	00020-contigs	Cyanobacteriia
D2_6955474||	37739	45	11	4	No	dsDNAphage	7	Siphoviridae	Yes	00004-contigs	Bacteroidia
D2_7497091||	37645	49	3	0	No	dsDNAphage	1	Podoviridae	Yes	None	None
D2_5501951||	37567	58	12	0	No	dsDNAphage	8	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_5736547||	37483	73	11	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_4109505||	37458	46	14	0	No	dsDNAphage	5	Unknown	Yes	None	None
D3_6565672||	37421	39	3	1	No	dsDNAphage	0	Unknown	Yes	None	None
D3_5706919||	37205	33	22	0	No	dsDNAphage	9	Myoviridae	Yes	None	None
D3_8836012||	37172	47	9	0	No	dsDNAphage	6	Siphoviridae	Yes	00012-contigs	Gammaproteobacteria
D3_6877430||	37125	53	10	0	No	dsDNAphage	2	Myoviridae	Yes	00022-contigs	Bacteroidia
D3_2068129||	36919	58	2	7	Yes	dsDNAphage	3	Unknown	Yes	00009-contigs	UBA11346
D1_5053833||	36871	58	11	0	No	dsDNAphage	4	Unknown	Yes	00014-contigs	Cyanobacteriia
D2_3577648||	36871	58	11	0	No	dsDNAphage	4	Unknown	Yes	None	None
D3_1094959||	36830	49	6	0	No	dsDNAphage	1	Unknown	Yes	00031-contigs	Gammaproteobacteria
D3_2084885||	36803	61	13	0	No	dsDNAphage	4	Unknown	Yes	00008-contigs	Alphaproteobacteria
D4_6143875||	36796	56	7	0	No	dsDNAphage	5	Unknown	Yes	None	None
D3_10114283||	36707	50	23	0	No	dsDNAphage	9	Unknown	Yes	None	None
D3_10114226||	36665	51	11	0	No	dsDNAphage	5	Unknown	Yes	None	None
D2_5015184||	36585	34	9	0	No	dsDNAphage	1	Unknown	Yes	00001-contigs	Gammaproteobacteria
D2_2945901||	36540	54	19	0	No	dsDNAphage	7	Podoviridae	Yes	00004-contigs	Bacteroidia
D3_6214372||	36501	37	21	0	No	dsDNAphage	9	Unknown	Yes	None	None
D2_265396||	36499	72	5	1	No	dsDNAphage	1	Unknown	Yes	00006-contigs	Bacilli
D1_1553235||	36470	34	9	0	No	dsDNAphage	1	Unknown	Yes	00001-contigs	Gammaproteobacteria
D2_8361932||	36452	41	9	0	No	dsDNAphage	9	Unknown	Yes	00001-contigs	Gammaproteobacteria
D2_2379974||	36342	36	3	1	No	dsDNAphage	3	Unknown	Yes	None	None
D4_2756831||	36282	70	4	0	No	dsDNAphage	0	Unknown	Yes	00003-contigs	Bacteroidia
D1_6139612||	36137	49	11	0	No	dsDNAphage	5	Unknown	Yes	00032-contigs	Bacteroidia
D3_5186621||	36044	40	6	1	No	dsDNAphage	1	Podoviridae	Yes	None	None
D3_10114154||	36023	55	12	0	No	dsDNAphage	4	Unknown	Yes	None	None
D2_4428439||	36020	49	11	0	No	dsDNAphage	5	Siphoviridae	Yes	None	None
D1_6139443||	36012	40	9	3	No	dsDNAphage	5	Unknown	Yes	None	None
D2_8570844||	36012	40	9	3	No	dsDNAphage	5	Unknown	Yes	00048-contigs	Desulfobulbia
D3_10114324||	36012	39	9	3	No	dsDNAphage	5	Unknown	Yes	00036-contigs	Gammaproteobacteria
D4_2099785||	35962	66	6	0	No	dsDNAphage	5	Unknown	Yes	None	None
D4_214889||	35929	80	9	7	No	dsDNAphage	1	Unknown	Yes	None	None
D1_60521||	35908	42	3	6	No	dsDNAphage	1	Unknown	Yes	00034-contigs	Gammaproteobacteria
D3_6474247||	35797	53	6	2	No	dsDNAphage	7	Unknown	Yes	None	None
D4_2412935||	35740	3	0	1	No	dsDNAphage	1	Unknown	No	None	None
D4_1987358||	35710	56	12	0	No	dsDNAphage	4	Myoviridae	Yes	00010-contigs	Bacteroidia
D2_4818047||	35664	42	5	1	No	dsDNAphage	1	Siphoviridae	Yes	None	None
D4_6143891||	35660	55	18	0	No	dsDNAphage	12	Unknown	Yes	None	None
D1_3666048||	35602	36	23	0	No	dsDNAphage	13	Siphoviridae	Yes	None	None
D2_676001||	35553	24	10	0	No	dsDNAphage	5	Unknown	Yes	None	None
D4_2842404||	35538	46	3	0	No	dsDNAphage	1	Unknown	Yes	00010-contigs	Bacteroidia
D3_10087550||	35445	64	8	0	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D1_2797993||	35381	68	7	0	No	dsDNAphage	3	Siphoviridae	Yes	00014-contigs	Cyanobacteriia
D4_4526579||	35369	50	9	0	No	dsDNAphage	3	Myoviridae	Yes	None	None
D4_1865812||	35270	57	9	1	No	dsDNAphage	5	Unknown	Yes	None	None
D2_2866302||	35260	54	6	0	No	dsDNAphage	2	Unknown	Yes	00002-contigs	Gammaproteobacteria
D2_2157212||	35213	26	1	10	No	dsDNAphage	3	Unknown	Yes	00034-contigs	Gammaproteobacteria
D2_8553693||	35166	61	16	0	No	dsDNAphage	6	Unknown	Yes	00033-contigs	Alphaproteobacteria
D3_6609033||	35041	34	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_3194121||	35018	43	6	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_614535||	35014	50	9	0	No	dsDNAphage	0	Siphoviridae	Yes	00020-contigs	Cyanobacteriia
D4_6089655||	34957	45	13	2	No	dsDNAphage	2	Myoviridae	Yes	None	None
D2_4536541||	34955	59	21	0	No	dsDNAphage	7	Unknown	Yes	00009-contigs	Gammaproteobacteria
D4_4879304||	34702	59	19	4	No	dsDNAphage	10	Myoviridae	Yes	00003-contigs	Bacteroidia
D1_3080736||	34699	43	16	0	No	dsDNAphage	4	Unknown	Yes	00009-contigs	Bacteroidia
D4_397897||	34390	40	8	7	Yes	dsDNAphage	5	Unknown	Yes	00033-contigs	Alphaproteobacteria
D3_877620||	34344	54	6	1	No	dsDNAphage	4	Unknown	Yes	00027-contigs	Bacteroidia
D4_3729042||	34312	50	13	0	No	dsDNAphage	5	Myoviridae	Yes	None	None
D3_6131615||	34257	31	6	1	No	dsDNAphage	2	Unknown	Yes	00073-contigs	Alphaproteobacteria
D2_8570803||	34243	42	6	0	No	dsDNAphage	5	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_9415637||	34234	44	12	1	No	dsDNAphage	3	Myoviridae	Yes	None	None
D1_5610851||	34229	53	12	0	No	dsDNAphage	3	Unknown	Yes	None	None
D4_5832113||	34222	53	12	0	No	dsDNAphage	5	Myoviridae	Yes	00020-contigs	Cyanobacteriia
D2_1770701||	34144	43	14	0	No	dsDNAphage	0	Podoviridae	Yes	None	None
D2_6485364||	33982	45	15	1	No	dsDNAphage	6	Podoviridae	Yes	None	None
